date,Casos positivos,Activos,media_7,ia14,ia_ratio
2020-12-02,14,,11.0,397.32329569217904,1.0390625000000002
2020-12-03,8,114.0,10.0,397.32329569217904,1.0390625000000002
2020-12-04,7,,9.0,394.33590249148597,0.9924812030075187
2020-12-05,12,,8.0,403.29808209356514,1.0150375939849623
2020-12-06,13,,10.0,421.2224412977236,1.0601503759398496
2020-12-07,6,,10.0,436.159407301189,1.0895522388059702
2020-12-08,4,,9.0,415.24765489633745,1.0610687022900764
2020-12-09,2,,7.0,385.37372288940674,0.9699248120300752
2020-12-10,13,,8.0,379.3989364880206,0.9548872180451128
2020-12-11,10,80.0,9.0,364.4619704845552,0.9242424242424242
2020-12-12,19,,10.0,373.4241500866344,0.925925925925926
2020-12-13,6,,9.0,382.3863296887136,0.9078014184397163
2020-12-14,1,,8.0,370.4367568859413,0.8493150684931506
2020-12-15,13,,9.0,382.3863296887136,0.9208633093525179
2020-12-16,11,,10.0,373.4241500866344,0.9689922480620154
2020-12-17,7,90.0,10.0,370.4367568859413,0.9763779527559053
2020-12-18,17,,11.0,400.31068889287207,1.0983606557377048
2020-12-19,14,,10.0,406.2854752942583,1.088
2020-12-20,9,,10.0,394.33590249148597,1.0312500000000002
2020-12-21,16,,12.0,424.2098344984167,1.1451612903225807
2020-12-22,22,,14.0,477.982912110892,1.25
2020-12-23,20,,15.0,531.7559897233674,1.424
2020-12-24,5,,15.0,507.8568441178228,1.370967741935484
2020-12-25,3,,13.0,486.94509171297125,1.2164179104477613
2020-12-26,24,,14.0,501.8820577164366,1.2352941176470584
2020-12-27,26,,17.0,561.6299217302981,1.4242424242424239
2020-12-28,31,,19.0,651.2517177510904,1.5352112676056338
2020-12-29,78,265.0,27.0,845.4322757961402,1.7687499999999998
2020-12-30,38,,29.0,926.0918922148533,1.741573033707865
2020-12-31,25,,32.0,979.8649698273287,1.9294117647058824
2021-01-01,6,,33.0,947.0036446197049,1.9447852760736197
2021-01-02,16,,31.0,952.9784310210911,1.8988095238095242
2021-01-03,19,,30.0,982.8523630280217,1.7500000000000002
2021-01-04,28,,30.0,1018.7010814363388,1.5642201834862388
2021-01-05,40,,25.0,1072.474159048814,1.2685512367491167
2021-01-06,12,,21.0,1048.5750134432694,1.132258064516129
2021-01-07,31,,22.0,1126.2472366612894,1.149390243902439
